index,Home_Team,Away_Team,Season,Round,League,ivanyingx,ivan-ying,06.04.2022 01:12,file:///home/ivanyingx/.config/libreoffice/4;,Elo_home,Elo_away
0,225,196,2022.0,30.0,2_liga,,,,,62,53
1,431,184,2022.0,30.0,2_liga,,,,,48,54
2,149,236,2022.0,30.0,2_liga,,,,,50,41
3,224,256,2022.0,30.0,2_liga,,,,,74,55
4,533,326,2022.0,30.0,2_liga,,,,,75,61
5,140,433,2022.0,30.0,2_liga,,,,,60,84
6,229,157,2022.0,30.0,2_liga,,,,,51,51
7,226,246,2022.0,30.0,2_liga,,,,,43,35
8,242,343,2022.0,30.0,2_liga,,,,,63,42
0,46,539,2022.0,30.0,bundesliga,,,,,93,84
1,287,462,2022.0,30.0,bundesliga,,,,,77,65
2,168,233,2022.0,30.0,bundesliga,,,,,74,75
3,415,514,2022.0,30.0,bundesliga,,,,,68,58
4,48,258,2022.0,30.0,bundesliga,,,,,83,77
5,32,55,2022.0,30.0,bundesliga,,,,,55,96
6,497,152,2022.0,30.0,bundesliga,,,,,54,77
7,235,216,2022.0,30.0,bundesliga,,,,,77,58
8,47,375,2022.0,30.0,bundesliga,,,,,87,66
0,282,320,2022.0,42.0,championship,,,,,36,57
1,5,298,2022.0,42.0,championship,,,,,66,71
2,65,131,2022.0,42.0,championship,,,,,57,42
3,239,105,2022.0,42.0,championship,,,,,70,58
4,355,66,2022.0,42.0,championship,,,,,47,60
5,369,300,2022.0,42.0,championship,,,,,58,49
6,439,386,2022.0,42.0,championship,,,,,50,60
7,460,80,2022.0,42.0,championship,,,,,77,52
8,465,53,2022.0,42.0,championship,,,,,75,51
9,534,67,2022.0,42.0,championship,,,,,75,39
10,237,372,2022.0,42.0,championship,,,,,55,56
11,144,201,2022.0,42.0,championship,,,,,61,62
0,141,468,2022.0,35.0,eerste_divisie,,,,,54,45
1,147,154,2022.0,35.0,eerste_divisie,,,,,52,52
2,172,249,2022.0,35.0,eerste_divisie,,,,,55,53
3,284,165,2022.0,35.0,eerste_divisie,,,,,54,63
4,407,231,2022.0,35.0,eerste_divisie,,,,,65,52
5,503,417,2022.0,35.0,eerste_divisie,,,,,60,46
6,247,4,2022.0,35.0,eerste_divisie,,,,,40,67
7,185,248,2022.0,35.0,eerste_divisie,,,,,58,54
8,24,308,2022.0,35.0,eerste_divisie,,,,,48,59
9,251,142,2022.0,35.0,eerste_divisie,,,,,50,53
0,488,446,2022.0,30.0,eredivisie,,,,,78,67
1,309,15,2022.0,30.0,eredivisie,,,,,68,88
2,9,228,2022.0,30.0,eredivisie,,,,,80,76
3,377,340,2022.0,30.0,eredivisie,,,,,54,71
4,102,342,2022.0,30.0,eredivisie,,,,,59,89
5,537,523,2022.0,30.0,eredivisie,,,,,62,77
6,218,232,2022.0,30.0,eredivisie,,,,,75,70
7,193,502,2022.0,30.0,eredivisie,,,,,84,77
8,198,211,2022.0,30.0,eredivisie,,,,,45,60
0,457,303,2022.0,32.0,ligue_1,,,,,77,87
1,428,453,2022.0,32.0,ligue_1,,,,,82,58
2,273,269,2022.0,32.0,ligue_1,,,,,81,59
3,316,280,2022.0,32.0,ligue_1,,,,,80,73
4,297,126,2022.0,32.0,ligue_1,,,,,63,55
5,304,458,2022.0,32.0,ligue_1,,,,,76,61
6,312,30,2022.0,32.0,ligue_1,,,,,72,66
7,486,461,2022.0,32.0,ligue_1,,,,,59,50
8,331,210,2022.0,32.0,ligue_1,,,,,85,80
9,341,332,2022.0,32.0,ligue_1,,,,,93,82
0,479,551,2022.0,33.0,ligue_2,,,,,75,42
1,349,44,2022.0,33.0,ligue_2,,,,,38,61
2,54,220,2022.0,33.0,ligue_2,,,,,70,72
3,97,28,2022.0,33.0,ligue_2,,,,,70,53
4,146,14,2022.0,33.0,ligue_2,,,,,65,56
5,148,215,2022.0,33.0,ligue_2,,,,,44,34
6,311,317,2022.0,33.0,ligue_2,,,,,70,50
7,325,443,2022.0,33.0,ligue_2,,,,,52,61
8,408,347,2022.0,33.0,ligue_2,,,,,31,44
9,506,262,2022.0,33.0,ligue_2,,,,,58,56
0,274,530,2022.0,31.0,premier_league,,,,,90,70
1,79,319,2022.0,31.0,premier_league,,,,,60,64
2,83,290,2022.0,31.0,premier_league,,,,,70,94
3,121,77,2022.0,31.0,premier_league,,,,,94,53
4,265,444,2022.0,31.0,premier_league,,,,,58,82
5,540,36,2022.0,31.0,premier_league,,,,,59,62
6,291,267,2022.0,31.0,premier_league,,,,,92,79
7,535,163,2022.0,31.0,premier_league,,,,,79,83
8,478,315,2022.0,31.0,premier_league,,,,,89,70
9,136,34,2022.0,31.0,premier_league,,,,,73,92
0,33,93,2022.0,30.0,primeira_liga,,,,,68,52
1,188,206,2022.0,30.0,primeira_liga,,,,,53,56
2,524,350,2022.0,30.0,primeira_liga,,,,,75,72
3,305,475,2022.0,30.0,primeira_liga,,,,,68,59
4,293,69,2022.0,30.0,primeira_liga,,,,,74,63
5,548,527,2022.0,30.0,primeira_liga,,,,,38,51
6,366,365,2022.0,30.0,primeira_liga,,,,,89,58
7,450,61,2022.0,30.0,primeira_liga,,,,,87,91
8,161,448,2022.0,30.0,primeira_liga,,,,,71,82
0,374,388,2022.0,32.0,primera_division,,,,,81,75
1,153,288,2022.0,32.0,primera_division,,,,,61,58
2,16,385,2022.0,32.0,primera_division,,,,,69,64
3,505,336,2022.0,32.0,primera_division,,,,,83,68
4,205,519,2022.0,32.0,primera_division,,,,,64,85
5,213,270,2022.0,32.0,primera_division,,,,,69,66
6,40,158,2022.0,32.0,primera_division,,,,,97,78
7,39,114,2022.0,32.0,primera_division,,,,,86,82
8,437,391,2022.0,32.0,primera_division,,,,,90,99
9,50,138,2022.0,32.0,primera_division,,,,,98,53
0,151,259,2022.0,36.0,segunda_division,,,,,73,61
1,554,301,2022.0,36.0,segunda_division,,,,,39,55
2,266,306,2022.0,36.0,segunda_division,,,,,62,60
3,397,25,2022.0,36.0,segunda_division,,,,,71,60
4,395,393,2022.0,36.0,segunda_division,,,,,68,56
5,171,19,2022.0,36.0,segunda_division,,,,,49,58
6,361,281,2022.0,36.0,segunda_division,,,,,49,53
7,82,555,2022.0,36.0,segunda_division,,,,,47,46
8,238,398,2022.0,36.0,segunda_division,,,,,56,60
9,470,200,2022.0,36.0,segunda_division,,,,,55,39
10,209,552,2022.0,36.0,segunda_division,,,,,61,42
0,120,553,2022.0,30.0,segunda_liga,,,,,65,53
1,509,108,2022.0,30.0,segunda_liga,,,,,54,41
2,11,351,2022.0,30.0,segunda_liga,,,,,59,56
3,189,285,2022.0,30.0,segunda_liga,,,,,42,44
4,268,367,2022.0,30.0,segunda_liga,,,,,53,53
5,10,485,2022.0,30.0,segunda_liga,,,,,45,45
6,549,310,2022.0,30.0,segunda_liga,,,,,48,71
7,191,518,2022.0,30.0,segunda_liga,,,,,63,39
8,406,62,2022.0,30.0,segunda_liga,,,,,74,53
0,447,243,2022.0,33.0,serie_a,,,,,60,84
1,299,204,2022.0,33.0,serie_a,,,,,85,74
2,98,432,2022.0,33.0,serie_a,,,,,73,74
3,430,429,2022.0,33.0,serie_a,,,,,74,50
4,494,155,2022.0,33.0,serie_a,,,,,76,71
5,195,511,2022.0,33.0,serie_a,,,,,86,38
6,253,70,2022.0,33.0,serie_a,,,,,95,72
7,261,476,2022.0,33.0,serie_a,,,,,85,77
8,313,409,2022.0,33.0,serie_a,,,,,90,89
9,38,230,2022.0,33.0,serie_a,,,,,77,65
0,556,363,2022.0,34.0,serie_b,,,,,49,37
1,127,124,2022.0,34.0,serie_b,,,,,42,51
2,264,419,2022.0,34.0,serie_b,,,,,50,53
3,199,132,2022.0,34.0,serie_b,,,,,55,47
4,60,557,2022.0,34.0,serie_b,,,,,52,56
5,35,402,2022.0,34.0,serie_b,,,,,53,36
6,135,472,2022.0,34.0,serie_b,,,,,65,53
7,324,3,2022.0,34.0,serie_b,,,,,44,32
8,353,550,2022.0,34.0,serie_b,,,,,55,50
9,78,348,2022.0,34.0,serie_b,,,,,58,39
